gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
Q0055,9176.751,-1.125012,0.4398469,0.0002918005,0.004005028
Q0060,1104.39,-1.06926,0.32186397,2.692546e-05,0.0006384582
Q0070,3004.823,-1.25805,0.2937953,6.388421e-07,3.475986e-05
Q0085,107.7831,-1.885462,0.44901669,5.32863e-07,3.092636e-05
Q0120,1939.728,-1.852871,0.26758411,2.15226e-13,9.368479e-11
Q0158,122130.6,-1.502143,0.30770171,4.687752e-08,4.394948e-06
Q0250,47.40476,-1.502783,0.34343451,4.394399e-07,2.704996e-05
Q0255,1065.918,-1.024137,0.46439861,0.0009083342,0.009382014
YAL062W,51.9776,-1.184568,0.54070571,0.0006725094,0.007397603
YAR061W,94.53537,-1.938728,0.44212426,2.293819e-07,1.570622e-05
YBL029W,124.3666,-1.356333,0.25254977,3.883052e-09,5.634124e-07
YBL049W,33.45159,-1.121706,0.59861286,0.001535684,0.01390559
YBL059C-A,246.7067,-1.1584,0.30439301,4.312548e-06,0.0001555069
YBL106C,45.5813,-1.123531,0.3374361,2.535236e-05,0.0006106612
YBR054W,167.4795,-1.354739,0.39911697,1.778701e-05,0.0004692383
YBR071W,53.60125,-1.121852,0.44184656,0.0003090769,0.004121477
YBR085C-A,164.282,-1.386746,0.65895133,0.0004806894,0.005688002
YCL030C,126.6891,-1.431638,0.45556275,3.605701e-05,0.0007847551
YCR007C,40.70344,-1.063149,0.4277369,0.0003951175,0.004966232
YCR097W,886.885,-1.544992,0.34897767,3.471989e-07,2.20399e-05
YDL010W,242.0829,-1.150308,0.19847249,2.73552e-10,5.953664e-08
YDL098C,14.71154,-1.039266,0.57256645,0.002158813,0.01785049
YDL130W-A,1328.83,-1.271962,0.34220088,6.001689e-06,0.000196636
YDL173W,496.8923,-1.093982,0.20040578,1.696354e-09,2.793941e-07
YDL184C,223.7488,-1.9311,0.41654182,8.169811e-08,6.72795e-06
YDL200C,52.20332,-1.306998,0.44915898,8.319675e-05,0.001550462
YDR089W,127.5947,-1.052243,0.22435124,8.718136e-08,6.990569e-06
YDR216W,228.6088,-1.627611,0.40433357,1.565333e-06,7.066031e-05
YDR218C,52.21705,-1.90575,0.49484546,1.759934e-06,7.771768e-05
YDR223W,138.3481,-1.217789,0.31442863,3.330129e-06,0.0001245019
YDR233C,595.6048,-1.743523,0.24302789,4.539061e-14,2.305086e-11
YDR249C,60.99597,-1.25619,0.30383509,1.181487e-06,5.714269e-05
YDR261W-B,74.15225,-2.651665,0.54890204,2.858333e-09,4.35467e-07
YDR282C,21.08793,-1.083234,0.42178833,0.0003021369,0.004096554
YDR314C,65.84683,-1.003684,0.26063181,3.672915e-06,0.0001332306
YDR380W,63.75819,-2.282822,0.5500785,2.09531e-07,1.467681e-05
YDR461C-A,20.01775,-1.803226,0.50082161,4.933639e-06,0.0001727908
YDR504C,55.56675,-1.08907,0.32237526,2.174764e-05,0.0005499174
YDR545W,157.5074,-25.32046,2.54425381,9.189094e-24,1.399958e-20
YEL012W,284.9369,-1.714231,0.26008498,2.629244e-12,9.425065e-10
YEL017C-A,119.3791,-1.38579,0.5383969,0.0001795821,0.002844202
YER024W,94.04799,-1.739192,0.3649481,6.567044e-08,5.636559e-06
YER038W-A,6.05464,-1.267295,0.71163356,0.001127557,0.01122767
YER060W-A,79.19416,-1.332387,0.40082216,2.275202e-05,0.0005613394
YER065C,39.24716,-1.785522,0.36249487,2.92354e-08,3.01967e-06
YER104W,65.44685,-1.344007,0.47418104,9.795567e-05,0.0017661
YER180C-A,15.40835,-1.798955,0.56122494,1.53314e-05,0.0004170963
YGL170C,184.4793,-1.48012,0.32973196,2.749464e-07,1.801638e-05
YGL249W,27.03904,-1.087347,0.36078423,7.614343e-05,0.001454602
YGR164W,12.18785,-1.431055,0.5177092,0.0001025602,0.001827491
YGR213C,17.84024,-1.062912,0.54284219,0.001506441,0.01374289
YGR239C,43.81262,-1.152161,0.29121241,2.36818e-06,9.621126e-05
YGR275W,263.5446,-1.142846,0.23099932,2.677394e-08,2.913578e-06
YHR007C-A,75.42238,-1.070995,0.47666681,0.0007420435,0.007971963
YHR096C,107.4863,-2.785126,0.68977158,2.789852e-08,2.982695e-06
YIL138C,176.858,-1.318228,0.19244577,4.64654e-13,1.769751e-10
YIR028W,25.38924,-1.874177,0.39362952,5.296386e-08,4.81734e-06
YJL189W,66.69352,-1.088383,0.38740436,0.0001458709,0.002422172
YJL213W,19.37379,-1.196305,0.47850884,0.0003046664,0.004108849
YJL221C,20.81948,-21.17952,3.12349746,5.895368e-12,1.796319e-09
YJR095W,25.53417,-2.973919,0.82432734,3.637436e-08,3.633859e-06
YJR107C-A,219.8918,-1.051995,0.30758452,1.909548e-05,0.0004972984
YKL065W-A,548.3116,-2.30079,0.59482561,5.077458e-07,2.975195e-05
YKL096C-B,44.67501,-1.503934,0.52167333,6.614935e-05,0.001300368
